epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,408.862,0.58215,0.65727,0.88982,0.99429,0.94118,0.98974,0.69881,1.2649,0.69046,1.04544,0.000416,0.000416,0.000416
82,413.817,0.54395,0.59823,0.84822,1,0.99383,0.995,0.70038,1.25146,0.68011,1.05726,0.0003962,0.0003962,0.0003962
83,418.737,0.49173,0.83491,0.77081,1,0.99336,0.995,0.70205,1.24555,0.68026,1.06149,0.0003764,0.0003764,0.0003764
84,423.715,0.65585,0.65215,0.88624,1,0.99364,0.995,0.68919,1.24913,0.67668,1.05925,0.0003566,0.0003566,0.0003566
85,428.675,0.56716,0.5972,0.84152,1,0.99514,0.995,0.69326,1.2536,0.67405,1.0514,0.0003368,0.0003368,0.0003368
86,433.57,0.5888,0.66506,0.88605,1,0.99514,0.995,0.69326,1.2536,0.67405,1.0514,0.000317,0.000317,0.000317
87,438.538,0.57744,0.6414,0.85018,1,0.99552,0.995,0.69057,1.26595,0.67747,1.04615,0.0002972,0.0002972,0.0002972
88,443.513,0.63832,0.65404,0.89228,0.99399,0.94118,0.99222,0.68872,1.26737,0.6856,1.03673,0.0002774,0.0002774,0.0002774
89,448.443,0.49842,0.79976,0.73813,0.9944,0.94118,0.99222,0.68739,1.28112,0.67438,1.0372,0.0002576,0.0002576,0.0002576
90,453.436,0.54374,0.58234,0.84441,1,0.99433,0.995,0.68725,1.26598,0.66294,1.03585,0.0002378,0.0002378,0.0002378
91,458.36,0.64581,0.79928,0.82757,1,0.99211,0.995,0.68894,1.26373,0.65052,1.03481,0.000218,0.000218,0.000218
92,463.244,0.58601,0.70101,0.85117,0.997,0.94118,0.99222,0.69006,1.2307,0.64605,1.02422,0.0001982,0.0001982,0.0001982
93,468.128,0.56593,0.6951,0.83545,0.99975,0.94118,0.99222,0.69431,1.20782,0.64056,1.0184,0.0001784,0.0001784,0.0001784
94,472.971,0.58756,0.69066,0.84224,0.99975,0.94118,0.99222,0.69431,1.20782,0.64056,1.0184,0.0001586,0.0001586,0.0001586
95,477.843,0.4706,0.64631,0.81913,1,0.98423,0.995,0.693,1.18842,0.64684,1.01254,0.0001388,0.0001388,0.0001388
96,482.713,0.47375,0.63613,0.81962,1,0.99449,0.995,0.70236,1.18317,0.65576,1.00791,0.000119,0.000119,0.000119
97,487.61,0.51477,0.66365,0.77736,1,0.99889,0.995,0.70236,1.1712,0.65261,0.99858,9.92e-05,9.92e-05,9.92e-05
98,492.517,0.50228,0.68864,0.8309,0.99902,1,0.995,0.69618,1.18143,0.65534,0.99809,7.94e-05,7.94e-05,7.94e-05
99,497.389,0.48893,0.64093,0.87394,0.99789,1,0.995,0.70771,1.18168,0.64931,0.99584,5.96e-05,5.96e-05,5.96e-05
100,502.28,0.479,0.62181,0.84624,0.99478,1,0.995,0.7058,1.18047,0.65384,0.99231,3.98e-05,3.98e-05,3.98e-05
